Level1,Level2,Level3,Level4,Federal,Total,Paper_ID,Top_Words1,Top_Topic1,KCluster
2008-2011,3,Selecting Receptive Fields in Deep Networks,Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering,0.249,0.249,4293,"[u'image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
2011-2014,4,Selecting Receptive Fields in Deep Networks,Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering,0.249,0.249,4293,"[u'class', u'object', u'visual', u'face', u'vol', u'viewpoint', u'objects', u'model', u'faces', u'cells']",[0],5
1987-1990,5,Optimal Brain Damage,Competition Among Networks Improves Committee Performance,0.634,0.634,250,"[u'classifiers', u'training', u'classifier', u'network', u'classification', u'letter', u'tree', u'error', u'data', u'neural']",[4],1
1987-1990,5,Optimal Brain Damage,"Overfitting in Neural Nets: Backpropagation, Conjugate Gradient, and Early Stopping",0.148,0.148,250,"[u'classifiers', u'training', u'classifier', u'network', u'classification', u'letter', u'tree', u'error', u'data', u'neural']",[4],1
1987-1990,5,Optimal Brain Damage,Handwritten Digit Recognition with a Back-Propagation Network,1.423,1.423,250,"[u'classifiers', u'training', u'classifier', u'network', u'classification', u'letter', u'tree', u'error', u'data', u'neural']",[4],1
1987-1990,5,Optimal Brain Damage,Transforming Neural-Net Output Levels to Probability Distributions,0.337,0.337,250,"[u'classifiers', u'training', u'classifier', u'network', u'classification', u'letter', u'tree', u'error', u'data', u'neural']",[4],1
1987-1990,5,Optimal Brain Damage,Neural Control for Rolling Mills: Incorporating Domain Theories to Overcome Data Deficiency,0.136,0.136,250,"[u'classifiers', u'training', u'classifier', u'network', u'classification', u'letter', u'tree', u'error', u'data', u'neural']",[4],1
1987-1990,5,Optimal Brain Damage,Automatic Learning Rate Maximization by On-Line Estimation of the Hessian's Eigenvectors,1.089,1.089,250,"[u'classifiers', u'training', u'classifier', u'network', u'classification', u'letter', u'tree', u'error', u'data', u'neural']",[4],1
1987-1990,5,Optimal Brain Damage,Extended Regularization Methods for Nonconvergent Model Selection,0.864,0.864,250,"[u'classifiers', u'training', u'classifier', u'network', u'classification', u'letter', u'tree', u'error', u'data', u'neural']",[4],1
1987-1990,5,Optimal Brain Damage,Second order derivatives for network pruning: Optimal Brain Surgeon,0.088,0.088,250,"[u'classifiers', u'training', u'classifier', u'network', u'classification', u'letter', u'tree', u'error', u'data', u'neural']",[4],1
1987-1990,5,Optimal Brain Damage,Optimal Brain Surgeon: Extensions and performance comparisons,0.25,0.25,250,"[u'classifiers', u'training', u'classifier', u'network', u'classification', u'letter', u'tree', u'error', u'data', u'neural']",[4],1
1987-1990,5,Optimal Brain Damage,Constructive Learning Using Internal Representation Conflicts,0.116,0.116,250,"[u'classifiers', u'training', u'classifier', u'network', u'classification', u'letter', u'tree', u'error', u'data', u'neural']",[4],1
1987-1990,5,Optimal Brain Damage,Recurrent Networks: Second Order Properties and Pruning,1.895,1.895,250,"[u'classifiers', u'training', u'classifier', u'network', u'classification', u'letter', u'tree', u'error', u'data', u'neural']",[4],1
2005-2008,6,Sequential effects: Superstition or rational behavior?,Sequential effects reflect parallel learning of multiple environmental regularities,0.062,0.062,3519,"[u'jigsaw', u'image', u'model', u'learning', u'images', u'data', u'layer', u'set', u'hidden', u'state']",[1],6
2005-2008,6,Sequential effects: Superstition or rational behavior?,A rational decision making framework for inhibitory control,8.457,8.457,3519,"[u'jigsaw', u'image', u'model', u'learning', u'images', u'data', u'layer', u'set', u'hidden', u'state']",[1],6
2005-2008,6,Sequential effects: Superstition or rational behavior?,Context-sensitive active sensing in humans,0.117,0.117,3519,"[u'jigsaw', u'image', u'model', u'learning', u'images', u'data', u'layer', u'set', u'hidden', u'state']",[1],6
2008-2011,7,Sequential effects: Superstition or rational behavior?,Sequential effects reflect parallel learning of multiple environmental regularities,0.245,0.245,3519,"[u'algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2008-2011,7,Sequential effects: Superstition or rational behavior?,A rational decision making framework for inhibitory control,0.481,0.481,3519,"[u'algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2008-2011,7,Sequential effects: Superstition or rational behavior?,Context-sensitive active sensing in humans,0.42,0.42,3519,"[u'algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2005-2008,8,Bayesian Agglomerative Clustering with Coalescents,The Infinite Hierarchical Factor Regression Model,0.312,0.312,3266,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,9,Gates,An Incremental Nearest Neighbor Algorithm with Queries,0.126,0.126,3379,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,9,Gates,Modelling Seasonality and Trends in Daily Rainfall Data,1.46,1.46,3379,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,9,Gates,Breaking SVM Complexity with Cross-Training,3.292,3.292,3379,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,9,Gates,Localizing Bugs in Program Executions with Graphical Models,0.194,0.194,3379,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,9,Gates,Neuromorphic Networks Based on Sparse Optical Orthogonal Codes,6.721,6.721,3379,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,9,Gates,Learning to Pass Expectation Propagation Messages,3.456,3.456,3379,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,9,Gates,Neural Computing with Small Weights,0.142,0.142,3379,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,9,Gates,Near-optimal sample compression for nearest neighbors,2.917,2.917,3379,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,9,Gates,Computing with Almost Optimal Size Neural Networks,0.189,0.189,3379,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,9,Gates,Algorithmic Stability and Uniform Generalization,0.08,0.08,3379,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2005-2008,9,Gates,Optimal Depth Neural Networks for Multiplication and Related Problems,0.126,0.126,3379,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'model', u'data', u'models', u'unity', u'posterior']","[3, 4]",3
2008-2011,10,Gates,An Incremental Nearest Neighbor Algorithm with Queries,0.25,0.25,3379,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Gates,Modelling Seasonality and Trends in Daily Rainfall Data,0.2,0.2,3379,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Gates,Breaking SVM Complexity with Cross-Training,0.929,0.929,3379,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Gates,Localizing Bugs in Program Executions with Graphical Models,2.916,2.916,3379,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Gates,Neuromorphic Networks Based on Sparse Optical Orthogonal Codes,0.246,0.246,3379,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Gates,Learning to Pass Expectation Propagation Messages,0.986,0.986,3379,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Gates,Neural Computing with Small Weights,0.182,0.182,3379,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Gates,Near-optimal sample compression for nearest neighbors,0.506,0.506,3379,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Gates,Computing with Almost Optimal Size Neural Networks,0.201,0.201,3379,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Gates,Algorithmic Stability and Uniform Generalization,0.15,0.15,3379,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2008-2011,10,Gates,Optimal Depth Neural Networks for Multiplication and Related Problems,1.424,1.424,3379,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1999-2002,11,Hyperkernels,Computing regularization paths for learning multiple kernels,6.406,6.406,2193,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,11,Hyperkernels,A General and Efficient Multiple Kernel Learning Algorithm,0.133,0.133,2193,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,11,Hyperkernels,Combining Graph Laplacians for Semi--Supervised Learning,1.992,1.992,2193,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
1999-2002,11,Hyperkernels,Gaussian and Wishart Hyperkernels,0.17,0.17,2193,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2002-2005,12,Hyperkernels,Computing regularization paths for learning multiple kernels,0.11,0.11,2193,"[u'data', u'learning', u'local', u'system', u'bound', u'margin', u'coordinates', u'using', u'global', u'given']",[2],4
2002-2005,12,Hyperkernels,A General and Efficient Multiple Kernel Learning Algorithm,0.151,0.151,2193,"[u'data', u'learning', u'local', u'system', u'bound', u'margin', u'coordinates', u'using', u'global', u'given']",[2],4
2002-2005,12,Hyperkernels,Combining Graph Laplacians for Semi--Supervised Learning,0.11,0.11,2193,"[u'data', u'learning', u'local', u'system', u'bound', u'margin', u'coordinates', u'using', u'global', u'given']",[2],4
2002-2005,12,Hyperkernels,Gaussian and Wishart Hyperkernels,0.073,0.073,2193,"[u'data', u'learning', u'local', u'system', u'bound', u'margin', u'coordinates', u'using', u'global', u'given']",[2],4
2005-2008,13,Linearly-solvable Markov decision problems,Compositionality of optimal control laws,0.086,0.086,3002,"[u'traffic', u'log', u'dimension', u'time', u'learning', u'policy', u'intersection', u'gradient', u'doubling', u'nac']",[1],0
2005-2008,13,Linearly-solvable Markov decision problems,Policy gradients in linearly-solvable MDPs,0.102,0.102,3002,"[u'traffic', u'log', u'dimension', u'time', u'learning', u'policy', u'intersection', u'gradient', u'doubling', u'nac']",[1],0
2005-2008,13,Linearly-solvable Markov decision problems,Optimal Reinforcement Learning for Gaussian Systems,0.0,2.9,3002,"[u'traffic', u'log', u'dimension', u'time', u'learning', u'policy', u'intersection', u'gradient', u'doubling', u'nac']",[1],0
2002-2005,0,Learning from Data of Variable Quality,Domain Adaptation with Multiple Sources,0.0,46.4,2920,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2005-2008,1,Learning from Data of Variable Quality,Domain Adaptation with Multiple Sources,0.0,11.8,2920,"[u'graph', u'model', u'target', u'information', u'one', u'model', u'spike', u'time', u'neural', u'data']","[1, 4]",1
1993-1996,2,Nonlinear Image Interpolation using Manifold Learning,Example-Based Image Synthesis of Articulated Figures,0.0,69.4,879,"[u'output', u'distance', u'analog', u'wta', u'vector', u'voltage', u'input', u'template', u'cell', u'figure']",[3],6
2002-2005,3,A matching pursuit approach to sparse Gaussian process regression,Variational Mixture of Gaussian Process Experts,0.0,4.7,2862,"[u'density', u'function', u'regularizer', u'one', u'assumption', u'points', u'learning', u'space', u'functions', u'distance']",[6],2
2005-2008,4,A matching pursuit approach to sparse Gaussian process regression,Variational Mixture of Gaussian Process Experts,0.0,0.0,2862,"[u'basis', u'dmax', u'selection', u'method', u'sparse', u'training', u'instances', u'cost', u'model', u'info']",[7],2
2002-2005,5,Metric Learning by Collapsing Classes,Online Metric Learning and Fast Similarity Search,0.0,3.8,2947,"[u'distance', u'metric', u'learning', u'points', u'matrix', u'set', u'convex', u'class', u'data', u'method']",[7],3
2002-2005,5,Metric Learning by Collapsing Classes,An Online Algorithm for Large Scale Image Similarity Learning,0.0,12.9,2947,"[u'distance', u'metric', u'learning', u'points', u'matrix', u'set', u'convex', u'class', u'data', u'method']",[7],3
2002-2005,5,Metric Learning by Collapsing Classes,Similarity Component Analysis,0.0,75.5,2947,"[u'distance', u'metric', u'learning', u'points', u'matrix', u'set', u'convex', u'class', u'data', u'method']",[7],3
2005-2008,6,Metric Learning by Collapsing Classes,Online Metric Learning and Fast Similarity Search,0.0,4.2,2947,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'order', u'expansion', u'cumulants', u'model', u'function']",[3],3
2005-2008,6,Metric Learning by Collapsing Classes,An Online Algorithm for Large Scale Image Similarity Learning,0.0,0.0,2947,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'order', u'expansion', u'cumulants', u'model', u'function']",[3],3
2005-2008,6,Metric Learning by Collapsing Classes,Similarity Component Analysis,0.0,2.1,2947,"[u'terms', u'approximation', u'gaussian', u'corrections', u'correction', u'order', u'expansion', u'cumulants', u'model', u'function']",[3],3
2008-2011,7,Reconstruction of Sparse Circuits Using Multi-neuronal Excitation (RESCUME),Bayesian Inference and Online Experimental Design for Mapping Neural Microcircuits,0.0,0.9,3772,"[u'pre', u'post', u'synaptic', u'spike', u'postsynaptic', u'stdp', u'learning', u'model', u'rate', u'changes']",[6],9
1993-1996,8,An experimental comparison of recurrent neural networks,Learning long-term dependencies is not as difficult with NARX networks,0.0,8.1,1009,"[u'algorithm', u'state', u'problem', u'time', u'hidden', u'markov', u'models', u'mean', u'step', u'algorithms']",[2],2
2011-2014,9,Reducing statistical time-series problems to binary classification,Locating Changes in Highly Dependent Data with Unknown Number of Change Points,0.0,0.6,4510,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
1987-1990,10,Performance of a Stochastic Learning Microchip,Experimental Evaluation of Learning in a Neural Microsystem,0.0,0.0,159,"[u'network', u'learning', u'input', u'output', u'units', u'hidden', u'unit', u'training', u'layer', u'weights']",[0],2
1996-1999,11,Ensemble Learning for Multi-Layer Networks,Affine Independent Variational Inference,0.0,0.4,1480,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
2005-2008,12,Learning from Multiple Sources,Multi-Label Prediction via Sparse Infinite CCA,0.0,11.6,2972,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,12,Learning from Multiple Sources,Graph-based Consensus Maximization among Multiple Supervised and Unsupervised Models,0.0,39.0,2972,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,12,Learning from Multiple Sources,Predictive Subspace Learning for Multi-view Data: a Large Margin Approach,0.0,9.5,2972,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,12,Learning from Multiple Sources,Generalization Bounds for Domain Adaptation,0.0,10.4,2972,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2008-2011,13,From Bandits to Experts: On the Value of Side-Observations,Explore no more: Improved high-probability regret bounds for non-stochastic bandits,0.0,2.3,4366,"[u'algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2011-2014,0,From Bandits to Experts: On the Value of Side-Observations,Explore no more: Improved high-probability regret bounds for non-stochastic bandits,0.103,0.103,4366,"[u'points', u'set', u'point', u'nearest', u'neighbor', u'learning', u'convergence', u'dimension', u'distribution', u'theorem']",[0],6
1987-1990,1,Towards an Organizing Principle for a Layered Perceptual Network,Kernelized Infomax Clustering,1.258,1.258,5,"[u'network', u'learning', u'input', u'output', u'units', u'hidden', u'unit', u'training', u'layer', u'weights']",[0],2
1990-1993,2,Practical Issues in Temporal Difference Learning,Stable LInear Approximations to Dynamic Programming for Stochastic Control Problems with Local Transitions,0.085,0.085,465,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1990-1993,2,Practical Issues in Temporal Difference Learning,Improving Elevator Performance Using Reinforcement Learning,0.303,0.303,465,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1990-1993,2,Practical Issues in Temporal Difference Learning,Multidimensional Triangulation and Interpolation for Reinforcement Learning,0.109,0.109,465,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1990-1993,2,Practical Issues in Temporal Difference Learning,Memory-Based Reinforcement Learning: Efficient Computation with Prioritized Sweeping,0.057,0.057,465,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
1990-1993,2,Practical Issues in Temporal Difference Learning,Monte Carlo Matrix Inversion and Reinforcement Learning,0.08,0.08,465,"[u'network', u'learning', u'time', u'unit', u'output', u'pattern', u'information', u'units', u'temporal', u'patterns']",[8],1
2005-2008,3,A learning framework for nearest neighbor search,Learning to Prune in Metric and Non-Metric Spaces,0.08,0.08,3357,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
1996-1999,4,Extended ICA Removes Artifacts from Electroencephalographic Recordings,Recognizing Evoked Potentials in a Virtual Environment,0.13,0.13,1343,"[u'eeg', u'artifacts', u'data', u'eye', u'ica', u'components', u'activity', u'eog', u'signals', u'time']",[8],7
1996-1999,5,A Neuromorphic Monaural Sound Localizer,Gradient Flow Independent Component Analysis in Micropower VLSI,0.109,0.109,1489,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
2005-2008,6,Multi-stage Convex Relaxation for Learning with Sparse Regularization,Identifying Alzheimer's Disease-Related Brain Regions from Multi-Modality Neuroimaging Data using Sparse Composite Linear Discrimination Analysis,0.081,0.081,3526,"[u'jigsaw', u'image', u'model', u'learning', u'images', u'data', u'layer', u'set', u'hidden', u'state']",[1],6
2008-2011,7,Multi-stage Convex Relaxation for Learning with Sparse Regularization,Identifying Alzheimer's Disease-Related Brain Regions from Multi-Modality Neuroimaging Data using Sparse Composite Linear Discrimination Analysis,0.524,0.524,3526,"[u'algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2005-2008,8,A neural network implementing optimal state estimation based on dynamic spike train decoding,Analytical Results for the Error in Filtering of Gaussian Processes,0.182,0.182,3299,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2008-2011,9,The Fixed Points of Off-Policy TD,Regularized Off-Policy TD-Learning,0.13,0.13,4244,"[u'algorithm', u'data', u'function', u'learning', u'regularization', u'privacy', u'batch', u'set', u'experiments', u'performance']",[1],6
2011-2014,10,The Fixed Points of Off-Policy TD,Regularized Off-Policy TD-Learning,0.138,0.138,4244,"[u'points', u'set', u'point', u'nearest', u'neighbor', u'learning', u'convergence', u'dimension', u'distribution', u'theorem']",[0],6
2008-2011,11,Learning from Candidate Labeling Sets,A Conditional Multinomial Mixture Model for Superset Label Learning,0.426,0.426,4041,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1996-1999,12,The Relevance Vector Machine,Sparse Kernel Principal Component Analysis,0.122,0.122,1719,"[u'support', u'one', u'data', u'span', u'vectors', u'error', u'leave', u'procedure', u'model', u'training']",[6],1
1996-1999,12,The Relevance Vector Machine,Sparse Representation for Gaussian Process Models,0.092,0.092,1719,"[u'support', u'one', u'data', u'span', u'vectors', u'error', u'leave', u'procedure', u'model', u'training']",[6],1
1996-1999,12,The Relevance Vector Machine,Analysis of Sparse Bayesian Learning,0.057,0.057,1719,"[u'support', u'one', u'data', u'span', u'vectors', u'error', u'leave', u'procedure', u'model', u'training']",[6],1
1996-1999,12,The Relevance Vector Machine,Boosted Dyadic Kernel Discriminants,0.053,0.053,1719,"[u'support', u'one', u'data', u'span', u'vectors', u'error', u'leave', u'procedure', u'model', u'training']",[6],1
1999-2002,13,The Relevance Vector Machine,Sparse Kernel Principal Component Analysis,0.144,0.144,1719,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,13,The Relevance Vector Machine,Sparse Representation for Gaussian Process Models,0.952,0.952,1719,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,13,The Relevance Vector Machine,Analysis of Sparse Bayesian Learning,0.159,0.159,1719,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
1999-2002,13,The Relevance Vector Machine,Boosted Dyadic Kernel Discriminants,0.079,0.079,1719,"[u'support', u'one', u'data', u'training', u'kernel', u'vector', u'svm', u'set', u'error', u'model']",[5],1
2008-2011,0,Ensemble Nystrom Method,Less is More: Nystr?m Computational Regularization,0.125,0.125,3850,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1987-1990,1,Heterogeneous Neural Networks for Adaptive Behavior in Dynamic Environments,Neural Implementation of Motivated Behavior: Feeding in an Artificial Insect,0.092,0.092,115,"[u'network', u'learning', u'input', u'output', u'units', u'hidden', u'unit', u'training', u'layer', u'weights']",[0],2
2014-2017,2,Deep Convolutional Inverse Graphics Network,"Attend, Infer, Repeat: Fast Scene Understanding with Generative Models",0.58,0.58,5851,"[u'sampling', u'sgd', u'linear', u'dependence', u'sup', u'k22', u'convergence', u'convex', u'weighted', u'weights']",[3],2
2011-2014,3,Rates of Convergence for Nearest Neighbor Classification,Near-optimal sample compression for nearest neighbors,0.61,0.61,5439,"[u'points', u'set', u'point', u'nearest', u'neighbor', u'learning', u'convergence', u'dimension', u'distribution', u'theorem']",[0],6
2014-2017,4,Rates of Convergence for Nearest Neighbor Classification,Near-optimal sample compression for nearest neighbors,0.331,0.331,5439,"[u'nearest', u'neighbor', u'probability', u'bounds', u'distribution', u'points', u'point', u'nearest', u'neighbor', u'distance', u'lower', u'algorithm', u'problem', u'bounds', u'action']","[1, 7, 9]",6
2014-2017,5,Convolutional Networks on Graphs for Learning Molecular Fingerprints,Protein contact prediction from amino acid co-evolution using convolutional networks for graph-valued images,0.349,0.349,5954,"[u'learning', u'convex', u'selection', u'algorithm', u'strategy', u'model', u'training', u'layer', u'metareasoning', u'sort']",[2],8
2005-2008,6,Modeling image patches with a directed hierarchy of Markov random fields,The Recurrent Temporal Restricted Boltzmann Machine,0.075,0.075,3279,"[u'jigsaw', u'image', u'model', u'learning', u'images', u'data', u'layer', u'set', u'hidden', u'state']",[1],6
1990-1993,7,Supervised learning from incomplete data via an EM approach,Reconstruction of Sequential Data with Probabilistic Models and Continuity Constraints,0.11,0.11,767,"[u'input', u'data', u'network', u'training', u'missing', u'neural', u'networks', u'noise', u'using', u'tresp']",[2],4
1990-1993,7,Supervised learning from incomplete data via an EM approach,An Alternative Infinite Mixture Of Gaussian Process Experts,0.097,0.097,767,"[u'input', u'data', u'network', u'training', u'missing', u'neural', u'networks', u'noise', u'using', u'tresp']",[2],4
1990-1993,7,Supervised learning from incomplete data via an EM approach,Max-margin classification of incomplete data,0.125,0.125,767,"[u'input', u'data', u'network', u'training', u'missing', u'neural', u'networks', u'noise', u'using', u'tresp']",[2],4
1990-1993,7,Supervised learning from incomplete data via an EM approach,Estimating Jaccard Index with Missing Observations: A Matrix Calibration Approach,2.225,2.225,767,"[u'input', u'data', u'network', u'training', u'missing', u'neural', u'networks', u'noise', u'using', u'tresp']",[2],4
1993-1996,8,Supervised learning from incomplete data via an EM approach,Reconstruction of Sequential Data with Probabilistic Models and Continuity Constraints,5.036,5.036,767,"[u'path', u'data', u'model', u'two', u'based', u'problem', u'functional', u'models', u'points', u'density']",[0],4
1993-1996,8,Supervised learning from incomplete data via an EM approach,An Alternative Infinite Mixture Of Gaussian Process Experts,4.365,4.365,767,"[u'path', u'data', u'model', u'two', u'based', u'problem', u'functional', u'models', u'points', u'density']",[0],4
1993-1996,8,Supervised learning from incomplete data via an EM approach,Max-margin classification of incomplete data,0.352,0.352,767,"[u'path', u'data', u'model', u'two', u'based', u'problem', u'functional', u'models', u'points', u'density']",[0],4
1993-1996,8,Supervised learning from incomplete data via an EM approach,Estimating Jaccard Index with Missing Observations: A Matrix Calibration Approach,0.31,0.31,767,"[u'path', u'data', u'model', u'two', u'based', u'problem', u'functional', u'models', u'points', u'density']",[0],4
2008-2011,9,Static Analysis of Binary Executables Using Structural SVMs,Structured Learning for Cell Tracking,0.154,0.154,3925,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1999-2002,10,Fractional Belief Propagation,Approximate inference in latent Gaussian-Markov models from continuous time observations,0.059,0.059,2339,"[u'learning', u'neuron', u'neurons', u'input', u'model', u'recurrent', u'excitatory', u'figure', u'time', u'synaptic']",[8],3
2002-2005,11,Fractional Belief Propagation,Approximate inference in latent Gaussian-Markov models from continuous time observations,0.067,0.067,2339,"[u'distance', u'metric', u'learning', u'points', u'matrix', u'set', u'convex', u'class', u'data', u'method']",[7],3
2011-2014,12,Continuous Relaxations for Discrete Hamiltonian Monte Carlo,Auxiliary-variable Exact Hamiltonian Monte Carlo Samplers for Binary Distributions,0.082,0.082,4652,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2008-2011,13,Zero-shot Learning with Semantic Output Codes,Zero-shot recognition with unreliable attributes,0.314,0.314,3650,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1993-1996,0,GTM: A Principled Alternative to the Self-Organizing Map,Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling,0.824,0.824,1207,"[u'path', u'data', u'model', u'two', u'based', u'problem', u'functional', u'models', u'points', u'density']",[0],4
1996-1999,1,GTM: A Principled Alternative to the Self-Organizing Map,Limitations of Self-organizing Maps for Vector Quantization and Multidimensional Scaling,0.333,0.333,1207,"[u'data', u'model', u'algorithm', u'learning', u'matrix', u'space', u'function', u'risk', u'gaussian', u'binary']",[0],4
2005-2008,2,Multi-Task Feature Learning,Supervised Dictionary Learning,0.1,0.1,3143,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
